Date, Open, High, Low, Close
06/22/21, 1.1918, 1.1953, 1.1881, 1.1944
06/21/21, 1.1859, 1.1923, 1.1847, 1.1920
06/18/21, 1.1907, 1.1927, 1.1848, 1.1864
06/17/21, 1.1994, 1.2007, 1.1892, 1.1906
06/16/21, 1.2126, 1.2136, 1.1994, 1.1997
06/15/21, 1.2122, 1.2148, 1.2103, 1.2127
06/14/21, 1.2106, 1.2131, 1.2094, 1.2120
06/11/21, 1.2172, 1.2195, 1.2092, 1.2110
06/10/21, 1.2182, 1.2194, 1.2145, 1.2176
06/09/21, 1.2173, 1.2220, 1.2170, 1.2180
06/08/21, 1.2190, 1.2195, 1.2165, 1.2172
06/07/21, 1.2167, 1.2204, 1.2145, 1.2189
06/04/21, 1.2128, 1.2186, 1.2104, 1.2167
06/03/21, 1.2210, 1.2216, 1.2119, 1.2127
06/02/21, 1.2214, 1.2228, 1.2165, 1.2212
06/01/21, 1.2228, 1.2255, 1.2211, 1.2215
05/31/21, 1.2193, 1.2232, 1.2184, 1.2227
05/28/21, 1.2194, 1.2207, 1.2132, 1.2194
05/27/21, 1.2192, 1.2216, 1.2174, 1.2193
05/26/21, 1.2252, 1.2265, 1.2183, 1.2194
05/25/21, 1.2217, 1.2268, 1.2211, 1.2251
05/24/21, 1.2182, 1.2230, 1.2172, 1.2216
05/21/21, 1.2228, 1.2242, 1.2162, 1.2181
05/20/21, 1.2178, 1.2230, 1.2168, 1.2228
05/19/21, 1.2223, 1.2247, 1.2160, 1.2176
05/18/21, 1.2150, 1.2233, 1.2150, 1.2225
05/17/21, 1.2147, 1.2169, 1.2126, 1.2151
05/14/21, 1.2079, 1.2148, 1.2070, 1.2147
05/13/21, 1.2073, 1.2107, 1.2051, 1.2081
05/12/21, 1.2148, 1.2155, 1.2066, 1.2072
05/11/21, 1.2130, 1.2182, 1.2124, 1.2150
05/10/21, 1.2164, 1.2179, 1.2127, 1.2129
05/07/21, 1.2062, 1.2172, 1.2052, 1.2163
05/06/21, 1.2006, 1.2072, 1.1993, 1.2065
05/05/21, 1.2014, 1.2028, 1.1986, 1.2006
05/04/21, 1.2063, 1.2070, 1.2000, 1.2013
05/03/21, 1.2032, 1.2078, 1.2013, 1.2065
04/30/21, 1.2120, 1.2127, 1.2017, 1.2020
04/29/21, 1.2127, 1.2150, 1.2103, 1.2122
04/28/21, 1.2092, 1.2135, 1.2057, 1.2126
04/27/21, 1.2086, 1.2094, 1.2057, 1.2091
04/26/21, 1.2095, 1.2119, 1.2063, 1.2087
04/23/21, 1.2017, 1.2102, 1.2012, 1.2099
04/22/21, 1.2034, 1.2070, 1.1993, 1.2018
04/21/21, 1.2035, 1.2045, 1.1999, 1.2035
04/20/21, 1.2035, 1.2081, 1.2023, 1.2038
04/19/21, 1.1986, 1.2049, 1.1943, 1.2038
04/16/21, 1.1967, 1.1995, 1.1950, 1.1982
04/15/21, 1.1982, 1.1994, 1.1957, 1.1966
04/14/21, 1.1948, 1.1988, 1.1947, 1.1981
04/13/21, 1.1910, 1.1957, 1.1881, 1.1949
04/12/21, 1.1901, 1.1921, 1.1872, 1.1912
04/09/21, 1.1913, 1.1922, 1.1867, 1.1902
04/08/21, 1.1868, 1.1927, 1.1861, 1.1918
04/07/21, 1.1872, 1.1916, 1.1861, 1.1872
04/06/21, 1.1814, 1.1880, 1.1796, 1.1873
04/05/21, 1.1764, 1.1822, 1.1738, 1.1812
04/02/21, 1.1778, 1.1787, 1.1751, 1.1760
04/01/21, 1.1730, 1.1781, 1.1713, 1.1779
03/31/21, 1.1717, 1.1760, 1.1704, 1.1731
03/30/21, 1.1766, 1.1776, 1.1712, 1.1718
03/29/21, 1.1825, 1.1825, 1.1761, 1.1764
03/26/21, 1.1765, 1.1805, 1.1764, 1.1796
03/25/21, 1.1813, 1.1829, 1.1762, 1.1764
03/24/21, 1.1848, 1.1854, 1.1809, 1.1814
03/23/21, 1.1932, 1.1943, 1.1843, 1.1850
03/22/21, 1.1948, 1.1949, 1.1873, 1.1933
03/19/21, 1.1916, 1.1939, 1.1874, 1.1906
03/18/21, 1.1979, 1.1989, 1.1906, 1.1918
03/17/21, 1.1904, 1.1986, 1.1885, 1.1982
03/16/21, 1.1929, 1.1952, 1.1884, 1.1905
03/15/21, 1.1954, 1.1966, 1.1912, 1.1930
03/12/21, 1.1987, 1.1989, 1.1909, 1.1954
03/11/21, 1.1930, 1.1991, 1.1916, 1.1985
03/10/21, 1.1900, 1.1931, 1.1868, 1.1928
03/09/21, 1.1846, 1.1917, 1.1836, 1.1901
03/08/21, 1.1919, 1.1933, 1.1844, 1.1845
03/05/21, 1.1970, 1.1980, 1.1894, 1.1912
03/04/21, 1.2064, 1.2067, 1.1962, 1.1972
03/03/21, 1.2091, 1.2113, 1.2044, 1.2063
03/02/21, 1.2049, 1.2096, 1.1992, 1.2090
03/01/21, 1.2076, 1.2103, 1.2027, 1.2048
02/26/21, 1.2174, 1.2186, 1.2063, 1.2073
02/25/21, 1.2167, 1.2243, 1.2155, 1.2175
02/24/21, 1.2150, 1.2175, 1.2110, 1.2170
02/23/21, 1.2160, 1.2181, 1.2135, 1.2151
02/22/21, 1.2121, 1.2170, 1.2091, 1.2159
02/19/21, 1.2093, 1.2146, 1.2083, 1.2120
02/18/21, 1.2039, 1.2096, 1.2035, 1.2094
02/17/21, 1.2107, 1.2111, 1.2024, 1.2043
02/16/21, 1.2130, 1.2170, 1.2095, 1.2106
02/15/21, 1.2121, 1.2147, 1.2118, 1.2129
02/12/21, 1.2131, 1.2135, 1.2083, 1.2120
02/11/21, 1.2118, 1.2149, 1.2113, 1.2133
02/10/21, 1.2120, 1.2146, 1.2108, 1.2120
02/09/21, 1.2050, 1.2123, 1.2047, 1.2121
02/08/21, 1.2045, 1.2066, 1.2021, 1.2051
02/05/21, 1.1965, 1.2051, 1.1952, 1.2049
02/04/21, 1.2038, 1.2045, 1.1958, 1.1963
02/03/21, 1.2046, 1.2051, 1.2005, 1.2034
02/02/21, 1.2062, 1.2088, 1.2011, 1.2045
02/01/21, 1.2138, 1.2138, 1.2057, 1.2061
01/29/21, 1.2122, 1.2155, 1.2094, 1.2138
01/28/21, 1.2110, 1.2144, 1.2081, 1.2123
01/27/21, 1.2164, 1.2170, 1.2060, 1.2113
01/26/21, 1.2142, 1.2176, 1.2108, 1.2162
